"YYYYmmddHHMM","LE","H","wind_speed","wind_dir","air_pressure","Tair","RH"
202001052230,-1.41341,-13.3402,6.84548,185.165,102872,NA,NA
202001052300,NA,-8.35237,5.999,183.667,102874,NA,NA
202001052330,NA,-11.0104,6.42297,179.559,102866,NA,NA
202001060000,NA,-11.7082,6.51654,181.978,102838,NA,NA
202001060030,NA,-14.6008,7.22525,186.414,102804,NA,NA
202001060100,-1.18442,-14.394,6.90015,191.609,102770,NA,NA
202001060130,-0.765344,-13.5263,6.69498,191.355,102757,NA,NA
202001060200,NA,NA,5.77581,184.787,102771,NA,NA
202001060230,NA,NA,6.82826,182.372,102748,NA,NA
202001060300,-1.59114,-10.3518,6.27924,182.893,102739,NA,NA
202001060330,-1.43258,-8.53967,5.11388,182.721,102715,NA,NA
202001060400,-1.29766,-8.65105,5.72686,182.778,102684,NA,NA
202001060430,-1.07012,-7.24724,5.58269,177.365,102666,NA,NA
202001060500,-1.43958,-11.6563,6.26023,184.585,102640,NA,NA
202001060530,-1.31136,-10.1266,5.78176,183.374,102616,NA,NA
202001060600,NA,-6.1607,5.6172,177.29,102596,NA,NA
202001060630,-1.05775,-9.6351,6.19054,179.882,102574,NA,NA
202001060700,NA,NA,5.91379,171.552,102561,NA,NA
202001060730,NA,-11.0474,6.94289,175.259,102539,NA,NA
202001060800,NA,-13.45,7.06509,174.293,102525,NA,NA
202001060830,NA,NA,NA,NA,NA,NA,NA
202001060900,NA,NA,NA,NA,NA,NA,NA
202001060930,NA,NA,NA,NA,NA,NA,NA
202001061000,NA,NA,NA,NA,NA,NA,NA
202001061030,-25.1527,-16.221,7.08238,189.242,102424,NA,NA
202001061100,NA,-5.46128,7.05627,182.928,102380,NA,NA
202001061130,NA,NA,6.73034,178.72,102322,NA,NA
202001061200,NA,-15.3739,8.5269,178.854,102261,NA,NA
202001061230,NA,-13.5063,9.01681,184.101,102208,NA,NA
202001061300,21.6914,-14.3026,7.91076,185.592,102157,NA,NA
202001061330,16.4773,-10.8687,7.5142,175.25,102110,NA,NA
202001061400,19.8213,-12.8132,8.36415,173.568,102068,NA,NA
202001061430,NA,NA,7.54249,162.629,102008,NA,NA
202001061500,NA,NA,7.52538,161.884,101950,NA,NA
202001061530,NA,NA,7.98004,161.835,101924,NA,NA
202001061600,NA,NA,8.43878,156.345,101875,NA,NA
202001061630,NA,NA,8.45334,156.682,101856,NA,NA
202001061700,NA,NA,8.03749,158.259,101840,NA,NA
202001061730,NA,NA,8.37344,160.54,101813,NA,NA
202001061800,NA,NA,8.45675,162.567,101772,NA,NA
202001061830,16.6822,-10.0333,8.16032,169.559,101783,NA,NA
202001061900,9.87099,NA,6.68232,184.371,101804,NA,NA
202001061930,13.9908,-10.5785,7.74703,186.937,101757,NA,NA
202001062000,15.9335,-13.4278,8.27262,181.674,101718,NA,NA
202001062030,17.3089,-15.8633,8.53225,184.596,101691,NA,NA
202001062100,14.0555,-14.6932,8.1307,188.567,101701,NA,NA
202001062130,9.82604,-12.0693,7.51876,190.375,101704,NA,NA
202001062200,6.39439,-11.4283,7.43955,196.029,101724,NA,NA
202001062230,NA,-12.9732,8.58892,203.365,101738,NA,NA
202001062300,NA,NA,NA,NA,NA,NA,NA
202001062330,NA,NA,NA,NA,NA,NA,NA
202001070000,NA,NA,NA,NA,NA,NA,NA
202001070030,-31.1803,NA,5.83019,212.226,101830,NA,NA
202001070100,NA,NA,6.02306,232.013,101865,NA,NA
202001070130,NA,-25.781,5.57123,235.574,101900,NA,NA
202001070200,NA,NA,5.17915,235.181,101932,NA,NA
202001070230,NA,NA,4.98535,228.851,101953,NA,NA
202001070300,NA,NA,4.93828,228.965,101955,NA,NA
202001070330,NA,-18.9399,5.74533,234.066,101995,NA,NA
202001070400,NA,-20.6894,5.64974,232.338,102035,NA,NA
202001070430,NA,NA,5.19194,222.287,102057,NA,NA
202001070500,-4.7176,-7.69346,4.79523,208.86,102109,NA,NA
202001070530,NA,-6.15286,4.59797,195.265,102152,NA,NA
202001070600,-4.42795,-6.34399,4.42796,201.498,102189,NA,NA
202001070630,NA,NA,4.41231,225.048,102221,NA,NA
202001070700,NA,-10.2389,4.7447,222.475,102241,NA,NA
202001070730,-3.04101,-11.1344,5.27279,209.814,102280,NA,NA
202001070800,NA,-9.9447,5.43253,195.583,102307,NA,NA
202001070830,-2.10779,-11.5384,6.17673,193.455,102331,NA,NA
202001070900,-1.6628,-8.94795,5.88665,193.231,102363,NA,NA
202001070930,-1.81588,-10.3194,6.11365,192.568,102371,NA,NA
202001071000,NA,NA,5.70735,192.942,102391,NA,NA
202001071030,-2.77674,-11.9156,5.9771,196.869,102370,NA,NA
202001071100,NA,-9.58017,5.9372,187.05,102372,NA,NA
202001071130,-3.60371,-10.6284,6.22089,191.894,102351,NA,NA
202001071200,NA,-17.7479,7.10565,195.307,102323,NA,NA
202001071230,-6.88536,-25.6288,7.84874,196.473,102309,NA,NA
202001071300,NA,NA,NA,NA,NA,NA,NA
202001071330,NA,NA,NA,NA,NA,NA,NA
202001071400,NA,NA,NA,NA,NA,NA,NA
202001071430,NA,NA,NA,NA,NA,NA,NA
202001071500,NA,NA,9.26197,177.511,102223,NA,NA
202001071530,NA,NA,9.52078,175.635,102193,NA,NA
202001071600,NA,-30.1836,10.3964,176.334,102165,NA,NA
202001071630,-10.974,-38.6278,11.2956,179.087,102111,NA,NA
202001071700,-11.2696,-37.9767,11.3152,178.847,102110,NA,NA
202001071730,-10.0021,-39.6799,11.2111,177.122,102093,NA,NA
202001071800,-4.50906,-40.218,11.6159,182.471,102067,NA,NA
202001071830,-4.46103,-45.7101,11.7214,182.397,102037,NA,NA
202001071900,NA,-40.8495,12.2858,179.632,101993,NA,NA
202001071930,1.37321,-38.5945,11.8791,179.945,101967,NA,NA
202001072000,NA,-30.7496,10.8531,183.101,102013,NA,NA
202001072030,NA,-35.6717,11.4249,178.409,101951,NA,NA
202001072100,NA,-40.6194,12.376,182.075,101896,NA,NA
202001072130,NA,-39.827,11.9102,183.787,101908,NA,NA
202001072200,-2.91831,-39.5043,11.5726,181.825,101882,NA,NA
202001072230,-5.01017,-43.1654,12.1932,177.583,101801,NA,NA
202001072300,-6.76311,-45.3476,13.6516,177.094,101730,NA,NA
202001072330,-7.94565,-36.2188,13.2521,180.047,101713,NA,NA
202001080000,-7.06832,-44.4824,13.1921,184.033,101694,NA,NA
202001080030,NA,-43.2809,12.8529,185.583,101642,NA,NA
202001080100,NA,NA,NA,NA,NA,NA,NA
202001080130,NA,NA,NA,NA,NA,NA,NA
202001080200,NA,NA,NA,NA,NA,NA,NA
202001080230,NA,NA,NA,NA,NA,NA,NA
202001080300,NA,NA,NA,NA,NA,NA,NA
202001080330,NA,NA,NA,NA,NA,NA,NA
202001080400,NA,NA,NA,NA,NA,NA,NA
202001080430,NA,NA,NA,NA,NA,NA,NA
202001080500,NA,NA,NA,NA,NA,NA,NA
202001080530,NA,NA,NA,NA,NA,NA,NA
202001080600,NA,NA,NA,NA,NA,NA,NA
202001080630,NA,NA,NA,NA,NA,NA,NA
202001080700,NA,NA,NA,NA,NA,NA,NA
202001080730,NA,NA,NA,NA,NA,NA,NA
202001080800,NA,NA,6.68579,216.689,101846,NA,NA
202001080830,NA,-32.8678,7.43795,221.204,101884,NA,NA
202001080900,NA,-26.8772,6.92568,222.01,101905,NA,NA
202001080930,NA,-35.7987,6.3608,221.14,101931,NA,NA
