"YYYYmmddHHMM","LE","H","wind_speed","wind_dir","air_pressure","Tair","RH"
202001041900,NA,NA,2.38368,337.032,101275,NA,NA
202001041930,NA,NA,1.91687,335.915,101275,NA,NA
202001042000,NA,NA,1.33822,331.774,101275,NA,NA
202001042030,NA,NA,1.45492,300.05,101275,NA,NA
202001042100,NA,NA,2.17174,302.663,101275,NA,NA
202001042130,NA,NA,2.60152,284.402,101275,NA,NA
202001042200,NA,NA,2.69484,290.077,101275,NA,NA
202001042230,NA,NA,1.8421,298.338,101275,NA,NA
202001042300,NA,NA,2.52695,302.328,101275,NA,NA
202001042330,NA,NA,2.5887,300.182,101275,NA,NA
202001050000,NA,NA,NA,NA,NA,NA,NA
202001050030,NA,NA,NA,NA,NA,NA,NA
202001050100,NA,NA,NA,NA,NA,NA,NA
202001050130,NA,NA,NA,NA,NA,NA,NA
202001050200,NA,NA,NA,NA,NA,NA,NA
202001050230,NA,NA,NA,NA,NA,NA,NA
202001050300,NA,NA,NA,NA,NA,NA,NA
202001050330,NA,NA,NA,NA,NA,NA,NA
202001050400,NA,NA,NA,NA,NA,NA,NA
202001050430,NA,NA,NA,NA,NA,NA,NA
202001050500,NA,NA,NA,NA,NA,NA,NA
202001050530,NA,NA,NA,NA,NA,NA,NA
202001050600,NA,NA,NA,NA,NA,NA,NA
202001050630,NA,NA,NA,NA,NA,NA,NA
202001050700,NA,NA,NA,NA,NA,NA,NA
202001050730,NA,NA,NA,NA,NA,NA,NA
202001050800,NA,NA,NA,NA,NA,NA,NA
202001050830,NA,NA,NA,NA,NA,NA,NA
202001050900,NA,NA,NA,NA,NA,NA,NA
202001050930,NA,NA,NA,NA,NA,NA,NA
202001051000,NA,NA,NA,NA,NA,NA,NA
202001051030,NA,NA,NA,NA,NA,NA,NA
202001051100,NA,NA,NA,NA,NA,NA,NA
202001051130,NA,NA,NA,NA,NA,NA,NA
202001051200,NA,NA,NA,NA,NA,NA,NA
202001051230,NA,NA,NA,NA,NA,NA,NA
202001051300,NA,NA,NA,NA,NA,NA,NA
202001051330,NA,NA,NA,NA,NA,NA,NA
202001051400,NA,NA,NA,NA,NA,NA,NA
202001051430,NA,NA,NA,NA,NA,NA,NA
202001051500,NA,NA,NA,NA,NA,NA,NA
202001051530,NA,NA,NA,NA,NA,NA,NA
202001051600,NA,NA,NA,NA,NA,NA,NA
202001051630,NA,NA,NA,NA,NA,NA,NA
202001051700,NA,NA,NA,NA,NA,NA,NA
